source_file,timestamp,ipc,l2_cache_hits,l2_cache_misses,l3_cache_hits,l3_cache_misses,l2_miss_rate,l3_miss_rate,memory_bandwidth,cpu_usage_overall,cpu_temperature,cpu_power,cpu_frequency,dvfs_level,dvfs_applied
SWdisable_cpuintensive.json,2025-11-19T05:22:43.977262,0.6977074215939205,63110,3134,33209,1245,0.047,0.036,10549.8,18.0,82.1,55.7,2510.7,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:22:47.961179,1.3231238724178986,78606,1289,41954,1721,0.016,0.039,24598.6,15.7,52.1,36.8,2219.5,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:22:56.386061,0.548127601773361,78711,3627,59180,1008,0.044,0.017,18829.4,25.5,69.0,62.2,2994.1,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:23:04.972548,1.1639906334288543,75938,2064,49469,1328,0.026,0.026,21362.6,12.8,56.2,60.5,3551.0,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:23:13.466022,1.8448593419084895,50359,4774,38993,1584,0.087,0.039,22111.6,25.0,82.5,38.2,3059.3,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:23:22.022673,1.4939963554321463,79536,1208,36162,1251,0.015,0.033,19744.0,12.8,65.4,47.0,2892.1,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:23:30.444878,1.3426024666461338,62457,4342,41567,1394,0.065,0.032,11181.6,11.3,60.2,56.7,1831.6,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:23:38.811325,1.1368714406788887,77662,4837,36148,817,0.059,0.022,21099.2,12.7,77.0,54.1,3422.6,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:23:47.146109,0.8380857305326934,70874,1811,39093,1272,0.025,0.032,12764.1,12.2,68.7,60.5,2405.1,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:23:55.494792,1.8197337720903675,78548,2223,37120,1526,0.028,0.039,24521.7,19.1,60.1,40.6,3563.7,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:24:03.978021,1.454630871459774,75393,2330,47639,1095,0.03,0.022,12661.6,11.3,79.8,54.1,3505.9,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:24:12.375018,1.274338579349458,55983,1068,32241,538,0.019,0.016,19533.0,13.6,80.5,34.7,2789.3,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:24:20.787376,0.84424140782111,54876,1022,56314,1802,0.018,0.031,22029.3,12.2,58.7,53.5,2142.8,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:24:29.191352,1.7117322248696636,71988,4446,37785,2843,0.058,0.07,14196.3,13.0,51.0,44.9,3345.2,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:24:37.574089,1.4225244471574965,67858,1376,48179,2894,0.02,0.057,13144.3,23.7,63.9,57.7,2683.7,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:24:45.972775,1.4441955135590434,50705,2877,42910,576,0.054,0.013,13533.3,6.6,50.8,61.4,3577.0,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:24:54.433188,1.1862739902065593,62565,3007,57110,1944,0.046,0.033,22905.9,3.4,75.9,34.2,1870.4,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:25:02.857416,1.955931184566944,51414,1989,33116,2162,0.037,0.061,11049.5,14.8,63.5,41.9,3146.0,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:25:11.290323,1.3237355547921332,53595,3375,53431,2810,0.059,0.05,24191.7,0.0,75.1,41.8,3578.8,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:25:19.703974,1.16272025157302,70135,1332,58317,1836,0.019,0.031,11682.4,3.7,54.2,55.8,2076.7,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:25:28.115074,1.1659851533912635,53254,2493,43190,2241,0.045,0.049,21011.2,4.0,77.6,58.9,3500.8,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:25:36.554299,1.3859918703908627,72928,3451,32953,2182,0.045,0.062,11364.7,3.9,50.7,50.0,3250.7,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:25:44.973426,1.888063966426703,71469,1802,32061,632,0.025,0.019,22988.3,0.0,51.4,45.3,3488.2,High,True
SWdisable_cpuintensive.json,2025-11-19T05:25:53.454997,1.7660465129861593,66402,4253,38256,2391,0.06,0.059,13590.1,18.5,76.9,29.0,2835.9,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:26:01.970416,0.5731231160513863,57521,1052,38343,1194,0.018,0.03,22971.8,4.8,58.2,38.0,2109.2,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:26:10.494627,1.0796023042131047,74398,4392,41653,1601,0.056,0.037,16830.5,11.8,60.7,26.2,2059.1,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:26:19.169385,0.6044878768237794,78088,1546,32254,2301,0.019,0.067,20336.8,0.0,72.3,58.1,3500.0,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:26:27.693549,1.3028909711019727,66689,1638,37384,1206,0.024,0.031,11441.4,5.6,61.1,50.9,3001.2,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:26:36.186209,1.9223599244677656,58566,1502,31990,2998,0.025,0.086,10041.0,17.3,52.1,48.1,2984.3,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:26:44.618194,1.320970325885648,67591,4131,41132,1986,0.058,0.046,13931.5,4.5,84.9,29.0,3345.4,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:26:53.063489,1.534157813047683,65744,2594,57458,1224,0.038,0.021,14021.6,6.7,79.8,30.2,2560.1,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:27:01.518223,1.5465393521618354,78127,2304,50698,1748,0.029,0.033,11430.8,0.0,54.8,25.8,1963.1,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:27:09.987363,0.6893052633489208,64321,3872,45727,633,0.057,0.014,14197.5,5.6,67.2,30.9,1937.7,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:27:18.467553,0.9443319807059443,60777,3700,59361,2833,0.057,0.046,20928.1,9.4,84.4,55.4,3275.9,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:27:26.960237,0.8566038226058164,66909,2511,49649,2897,0.036,0.055,12800.6,8.9,83.5,57.2,1998.8,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:27:35.414320,1.3702113994927878,55141,2628,50828,915,0.045,0.018,17907.5,1.9,76.3,48.0,1980.6,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:27:43.851994,1.6424512413388632,76515,3575,58193,2883,0.045,0.047,10642.8,11.5,78.6,42.0,2016.4,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:27:52.353258,1.7943063413504183,61691,4299,34964,1764,0.065,0.048,18103.8,10.5,66.0,60.3,2331.2,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:28:00.819752,1.2399104943197117,74189,3341,32242,1827,0.043,0.054,23117.5,13.7,72.5,56.2,1994.4,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:28:09.257029,1.946119847682922,51784,4897,35309,2767,0.086,0.073,21222.9,0.0,72.0,45.6,1895.1,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:28:17.715396,1.5539342601167705,71938,1536,51582,2473,0.021,0.046,16041.4,3.6,78.6,42.8,3430.4,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:28:26.153636,1.229214130370919,62369,3098,50323,1960,0.047,0.037,11664.6,0.0,83.8,31.7,2397.8,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:28:34.627818,1.1378821808227189,57183,3549,52879,2726,0.058,0.049,18394.9,0.0,50.1,35.9,2977.5,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:28:43.042205,0.8682636824215209,64450,1204,46228,2586,0.018,0.053,21798.5,0.0,66.9,39.2,1848.2,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:28:51.578342,0.6007604927618888,56152,3995,48246,2565,0.066,0.05,19833.3,13.2,64.0,52.4,2143.8,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:29:00.007385,0.517234120166221,66544,3989,59001,2431,0.057,0.04,15519.9,0.0,79.3,61.7,3014.1,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:29:08.452269,0.9159874843900214,73292,1039,42989,1974,0.014,0.044,17464.5,4.9,73.7,30.8,2781.1,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:29:16.942500,1.8700297903147574,58833,4210,34697,1356,0.067,0.038,12333.8,5.8,82.2,63.2,2599.8,High,True
SWdisable_cpuintensive.json,2025-11-19T05:29:25.428210,1.7685596797869039,61868,4968,48969,932,0.074,0.019,18928.6,15.9,66.1,35.6,2147.4,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:29:33.891189,1.3561832011150714,66850,1797,55365,2779,0.026,0.048,12511.2,3.8,66.7,42.6,3295.3,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:29:42.324481,1.9239672896677265,64245,2204,50050,1588,0.033,0.031,20567.9,2.0,54.4,64.1,3182.9,High,True
SWdisable_cpuintensive.json,2025-11-19T05:29:50.851760,1.4868982463683924,61705,4691,32442,511,0.071,0.016,16792.2,11.8,55.9,44.7,2027.8,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:29:59.403633,0.6142231328589833,73646,2579,31338,1122,0.034,0.035,15979.4,3.4,79.1,39.0,3099.5,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:30:07.846686,1.5147470488014214,67412,4665,36359,746,0.065,0.02,23888.2,11.9,64.8,25.5,3212.6,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:30:16.348854,0.6446668711054184,52245,4795,56911,595,0.084,0.01,19442.6,0.0,83.8,52.8,2432.6,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:30:24.859170,1.2414508101614785,68277,1416,34034,1638,0.02,0.046,18333.2,13.3,55.3,29.1,2350.5,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:30:33.317462,1.7675521550598743,60133,2990,38063,2560,0.047,0.063,15322.9,4.0,62.3,34.8,2697.5,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:30:41.765935,0.7246939065266986,71568,2567,40217,1806,0.035,0.043,14453.9,6.0,76.9,32.9,3118.7,Low,True
SWdisable_cpuintensive.json,2025-11-19T05:30:50.312044,1.2695723817883258,63219,2286,37426,1714,0.035,0.044,18916.5,6.0,60.5,31.1,3126.8,Medium,True
SWdisable_cpuintensive.json,2025-11-19T05:30:58.779388,0.8592484761502401,79357,3848,55333,776,0.046,0.014,12440.5,18.9,53.9,58.1,3291.9,Low,True
