source_file,timestamp,ipc,l2_cache_hits,l2_cache_misses,l3_cache_hits,l3_cache_misses,l2_miss_rate,l3_miss_rate,memory_bandwidth,cpu_usage_overall,cpu_temperature,cpu_power,cpu_frequency,dvfs_level,dvfs_applied
SW-disable_cpuintensive3.json,2025-12-10T23:16:16.097065,0.9485226313354572,62672,1375,34592,999,0.021,0.028,22726.8,45.3,69.9,38.1,2300.7,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:16:22.606969,1.287637378647277,54014,1920,58502,2981,0.034,0.048,15923.7,16.1,67.7,31.3,1845.4,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:16:27.319367,0.9040163587936074,78257,1462,55579,2334,0.018,0.04,14531.4,11.3,66.0,27.2,2285.1,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:16:32.032231,1.5032305213290011,72864,4157,45265,765,0.054,0.017,13374.1,11.3,76.1,37.5,2933.1,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:16:36.744799,0.7199837382724708,52076,1660,43117,2965,0.031,0.064,10649.2,11.5,72.5,50.4,2379.8,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:16:41.463417,1.6144261126538701,52085,3680,39776,2977,0.066,0.07,23921.1,21.7,80.1,58.4,2783.5,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:16:46.280652,1.5538463580009454,66584,3823,58848,2118,0.054,0.035,12628.8,29.1,67.0,36.9,3139.2,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:16:51.265484,1.3581698731976997,61592,1672,31385,1666,0.026,0.05,24657.6,31.5,70.3,64.0,2401.3,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:16:56.551949,0.7229158618054785,67813,1923,58875,1053,0.028,0.018,22080.0,26.8,51.4,33.2,3178.5,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:17:01.651508,0.8227740221195088,76635,3260,31490,1377,0.041,0.042,20323.9,19.3,77.9,31.0,2703.0,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:17:06.412752,1.9398629263692793,68002,2466,57915,580,0.035,0.01,15308.2,13.3,50.8,34.2,2714.9,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:17:11.159271,1.3099013151191308,70637,3266,40039,2709,0.044,0.063,11478.7,20.0,81.3,35.1,2886.0,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:17:15.914409,0.6357185692173877,59211,4772,30370,2600,0.075,0.079,18911.3,14.0,74.5,51.6,2257.2,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:17:20.644710,0.7940462243749047,54059,1634,53619,543,0.029,0.01,21626.5,13.5,61.5,37.6,2304.7,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:17:25.437483,1.155962829684729,76177,3334,53764,2934,0.042,0.052,10694.2,31.5,52.0,51.8,2759.9,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:17:30.480901,1.6068445061478795,62952,2441,45195,1445,0.037,0.031,12622.5,43.3,66.2,46.3,1859.4,Medium,True
SW-disable_cpuintensive3.json,2025-12-10T23:17:35.729708,1.4320774655059922,75865,1628,55361,1386,0.021,0.024,16808.4,29.8,79.1,47.4,2367.8,Medium,True
