Metric,Unit,Default Windows High,HistGBDT-RPM,Baseline-referenced difference,Difference type,Change vs. baseline (%)
Average CPU power,W,9.037044006057435,14.86568467015712,-5.8286406640996855,Time-weighted mean delta,64.49720351248494
Average IPC,IPC,1.2964699114585438,1.3745604341775817,-0.07809052271903802,Time-weighted mean delta,6.023319324949475
Average CPU usage,%,22.899718260039535,17.809979822673974,5.089738437365563,Time-weighted mean delta,-22.226205491127182
Average L2 miss rate,ratio,0.531882496860214,0.5328289022522917,-0.0009464053920776258,Time-weighted mean delta,0.177935051005526
Average L3 miss rate,ratio,0.44963863025191003,0.37818491014134803,0.07145372011056199,Time-weighted mean delta,-15.891365933245117
Average temperature,°C,0.0,0.0,0.0,Time-weighted mean delta,
Average frequency,GHz,0.0005999999999999998,0.0019818730090581604,-0.0013818730090581603,Time-weighted mean delta,230.31216817636013
Task Execution Time,s,402.3684394,398.6965692,3.6718702000000008,Absolute Difference,-0.9125641676756223
Total Instructions Retired,count,4621392000.0,15640448000.0,-11019056000.0,Absolute Difference,238.43586521117447
Total CPU Cycles,count,4824000000.0,14315200000.0,-9491200000.0,Absolute Difference,196.74958540630183
Total Memory Data Transferred,GB,60.547342768198256,117.49341941495535,-56.9460766467571,Absolute Difference,94.05214835731375
Instructions per Joule (Efficiency),Inst/J,1264211.456753756,2634835.80363506,-1370624.346881304,Absolute Difference,108.41733315728645
Integrated CPU energy,J,3655.553013154,5936.023785019999,-2280.4707718659993,Integrated energy difference,62.38374231368118
Energy-Delay Product (EDP),J*s,1470879.1610467427,2366672.317777072,-895793.1567303294,Absolute Difference,60.90188646719581
Energy-Delay Squared (ED^2P),J*s^2,591835352.5763592,943584133.5183308,-351748780.94197166,Absolute Difference,59.43355350618206
