Metric,Unit,Default Windows High,HistGBDT-PMS,Baseline-referenced difference,Difference type,Change vs. baseline (%)
Average CPU power,W,8.5488683595134,8.42186758923586,0.1270007702775373,Time-weighted mean delta,-1.4855857516651163
Average IPC,IPC,1.1993902843475819,1.060033424105986,0.13935686024159596,Time-weighted mean delta,-11.618975246026782
Average CPU usage,%,39.91851685719996,23.284415869267562,16.634100987932396,Time-weighted mean delta,-41.67013781458207
Average L2 miss rate,ratio,0.39587690799839304,0.44884851633630524,-0.052971608337912146,Time-weighted mean delta,13.380828047218966
Average L3 miss rate,ratio,0.13470401347285846,0.18696646470637,-0.05226245123351151,Time-weighted mean delta,38.79799115565469
Average temperature,°C,0.0,0.0,0.0,Time-weighted mean delta,
Average frequency,GHz,0.6030000000000001,0.8974257647814498,-0.2944257647814498,Time-weighted mean delta,48.82682666359031
Task Execution Time,s,401.6750706,275.8930024,125.78206820000003,Absolute Difference,-31.314382546099694
Total Instructions Retired,count,4467024000.0,5186544000.0,-719520000.0,Absolute Difference,16.107368126967753
Total CPU Cycles,count,4824000000.0,7076800000.0,-2252800000.0,Absolute Difference,46.69983416252073
Integrated CPU energy,J,3440.1466234700006,2602.692396685,837.4542267850006,Integrated energy difference,-24.34356201772234
Energy-Delay Product (EDP),J*s,1381821.1378566641,718064.6196450765,663756.5182115877,Absolute Difference,-48.03490842824543
