model,accuracy,macro_f1,balanced_acc,switch_rate,avg_run_length,latency_ms_per_sample,result_dir
HistGBDT,0.5487394957983194,0.4440581273768783,0.4496037863758159,0.5357798165137615,1.739766081871345,0.0144888490904122,w8_raw_label_smote
RandomForest,0.5319327731092437,0.4309584933947357,0.4483139076363215,0.544954128440367,1.7146974063400575,0.1268184693995863,w8_raw_label_smote
RandomForest,0.5961630695443645,0.4246508572310924,0.4245246294220953,0.4361370716510903,2.0870870870870872,0.113977046823129,w8_dvfs_level_smote
HistGBDT,0.5918465227817746,0.4232979678831028,0.4220543159075232,0.4475597092419522,2.0421155729676785,0.0163017086684703,w8_dvfs_level_weighted
HistGBDT,0.5630252100840336,0.420578717910335,0.4099239409647064,0.4357798165137614,2.0695652173913044,0.0175530459731817,w8_raw_label_weighted
LogReg,0.4252100840336134,0.4109376216684264,0.5110802777699915,0.6073394495412844,1.561679790026247,0.0001186713110655,w8_raw_label_smote
DecisionTree,0.4369747899159664,0.4074866918346034,0.4742991470826503,0.6128440366972477,1.5494791666666667,0.0001283823046833,w8_raw_label_weighted
DecisionTree,0.4218487394957983,0.4073440207904429,0.4883033668555079,0.6082568807339449,1.5596330275229358,0.0001362293027341,w8_raw_label_smote
LogReg,0.4151260504201681,0.403062557021543,0.5053792241417794,0.591743119266055,1.5973154362416109,0.0001043539028614,w8_raw_label_weighted
DecisionTree,0.4661870503597122,0.4024995290726001,0.4580951357583299,0.616822429906542,1.5478841870824054,0.0001284333877265,w8_dvfs_level_smote
HistGBDT,0.5294117647058824,0.3967979027022311,0.4003955278227122,0.4981651376146789,1.8506998444790048,0.0136876257136464,w8_final_label_smote
LinearSVM,0.4016806722689076,0.3944933551352058,0.5183552506134658,0.5798165137614679,1.6256830601092895,0.0001077419146895,w8_raw_label_smote
LinearSVM,0.6042016806722689,0.3846676598970177,0.4304459691548931,0.2926605504587156,2.840095465393795,0.0001075892243534,w8_raw_label_weighted
HistGBDT,0.4494004796163069,0.383276461409067,0.4279047180506699,0.5726895119418484,1.6521394611727416,0.0189275227021425,w8_dvfs_level_smote
kNN,0.4249400479616307,0.3742285601966464,0.4385669374568627,0.6370716510903427,1.5043290043290043,0.13609409336932,w8_dvfs_level_smote
kNN,0.3924369747899159,0.369264580944253,0.4496873928316461,0.6311926605504588,1.5101522842639594,0.0874389270786196,w8_raw_label_smote
DecisionTree,0.4268585131894484,0.3652216243864941,0.4155771787988915,0.602803738317757,1.5795454545454546,0.000139066716656,w8_dvfs_level_weighted
HistGBDT,0.5025210084033613,0.3642021091487245,0.3653950890632342,0.5027522935779817,1.83641975308642,0.0187587028834968,w8_majority_label_smote
RandomForest,0.5235294117647059,0.3633292509303366,0.3692679237880075,0.4614678899082569,1.9734660033167493,0.1160592081025242,w8_majority_label_smote
RandomForest,0.5310924369747899,0.3596571221357128,0.3612058260116513,0.4522935779816514,2.0067453625632377,0.1459803550969809,w8_final_label_smote
HistGBDT,0.5638655462184874,0.3586066706655628,0.3565547036420823,0.3853211009174312,2.2884615384615383,0.0191639252007007,w8_final_label_weighted
DecisionTree,0.4210084033613445,0.3559850886293896,0.3937712888737009,0.618348623853211,1.537467700258398,0.0001359811984002,w8_majority_label_weighted
