,ipc,l2_miss_rate,l3_miss_rate,cpu_usage_overall,cpu_temperature,cpu_power,cpu_frequency,ipc_change,ipc_avg_8,l3_miss_rate_avg_8,bw_util
ipc,1.0,-0.011159493637131064,0.002022842313622261,0.00020965336048249945,-0.00216663915354814,0.004077753277144363,0.002268961824085818,0.7125402750941399,0.508247844852552,-0.016478351776483605,0.0002429599443284793
l2_miss_rate,-0.011159493637131064,1.0,-0.004015774299372598,-0.003334301934548706,0.049615949122371876,0.0057539044444671825,-0.009761606566222035,-0.026179696193431457,0.0016617752366728754,-0.005593449798805449,0.035941434330111585
l3_miss_rate,0.002022842313622261,-0.004015774299372598,1.0,0.008265734801949453,0.013388576502143293,-6.070815206998951e-05,-0.008185411815311116,0.0023424765046509673,0.004978729449626344,0.5235745065639382,-0.005517845063396103
cpu_usage_overall,0.00020965336048249945,-0.003334301934548706,0.008265734801949453,1.0,-0.07340020831500295,0.018405495383045062,0.010866320469891553,0.011750471416830246,-0.007269603529536843,0.02114993616888509,0.051895809133149944
cpu_temperature,-0.00216663915354814,0.049615949122371876,0.013388576502143293,-0.07340020831500295,1.0,0.0029866922879426337,0.018609408453785503,0.01378611349980487,-0.014073947280361076,-0.004832285358451686,-0.0010633275780367929
cpu_power,0.004077753277144363,0.0057539044444671825,-6.070815206998951e-05,0.018405495383045062,0.0029866922879426337,1.0,0.2933370251351222,-0.034206373812433015,0.027642294218407915,-0.002897464233798402,0.009236542878197895
cpu_frequency,0.002268961824085818,-0.009761606566222035,-0.008185411815311116,0.010866320469891553,0.018609408453785503,0.2933370251351222,1.0,-0.0403430279542605,0.051706175830398576,-0.03019857722195392,-0.025040133887425244
ipc_change,0.7125402750941399,-0.026179696193431457,0.0023424765046509673,0.011750471416830246,0.01378611349980487,-0.034206373812433015,-0.0403430279542605,1.0,0.010383819498389363,-0.0016697185358311415,-0.00808970257557397
ipc_avg_8,0.508247844852552,0.0016617752366728754,0.004978729449626344,-0.007269603529536843,-0.014073947280361076,0.027642294218407915,0.051706175830398576,0.010383819498389363,1.0,-0.01597270732850574,0.007600695283872083
l3_miss_rate_avg_8,-0.016478351776483605,-0.005593449798805449,0.5235745065639382,0.02114993616888509,-0.004832285358451686,-0.002897464233798402,-0.03019857722195392,-0.0016697185358311415,-0.01597270732850574,1.0,-0.011188642893288085
bw_util,0.0002429599443284793,0.035941434330111585,-0.005517845063396103,0.051895809133149944,-0.0010633275780367929,0.009236542878197895,-0.025040133887425244,-0.00808970257557397,0.007600695283872083,-0.011188642893288085,1.0
