,ipc,l2_miss_rate,l3_miss_rate,cpu_usage_overall,cpu_temperature,cpu_power,cpu_frequency,ipc_change,ipc_avg_8,l3_miss_rate_avg_8,bw_util
ipc,1.0,-0.0014903693710337249,0.007780823745049797,-0.01270158887290868,0.0007782513194779939,-0.0012459315210186022,0.0075083083318548864,0.7070917716507618,0.5072858946847966,-0.010162591745659153,0.007383363613812223
l2_miss_rate,-0.0014903693710337249,1.0,-0.013607731104024716,-0.007109001481574832,0.047022554955570776,0.009420781376409478,-0.0026823061463527756,-0.0109562834098201,0.0031640194843028996,-0.010132531941823338,0.034429239557571344
l3_miss_rate,0.007780823745049797,-0.013607731104024716,1.0,0.0030609598062405394,0.01950516917767514,-0.005613265146766356,-0.01698850876944032,0.0024316620990909176,0.0034128810809530147,0.5144251482166396,-0.00700278024972879
cpu_usage_overall,-0.01270158887290868,-0.007109001481574832,0.0030609598062405394,1.0,-0.0825350344004475,0.02869704224021446,0.030245079555970698,0.002417428223059337,-0.02038780676012319,0.013788574952953027,0.04916796719050082
cpu_temperature,0.0007782513194779939,0.047022554955570776,0.01950516917767514,-0.0825350344004475,1.0,-0.004782404176979937,-0.011381802259634614,0.011413302365774215,-0.004194814965285295,-0.0030093008950589956,0.00901801841773062
cpu_power,-0.0012459315210186022,0.009420781376409478,-0.005613265146766356,0.02869704224021446,-0.004782404176979937,1.0,0.2953497991663198,-0.03957593015982198,0.027733408245937716,-0.0011986528981790037,0.004368312845752854
cpu_frequency,0.0075083083318548864,-0.0026823061463527756,-0.01698850876944032,0.030245079555970698,-0.011381802259634614,0.2953497991663198,1.0,-0.03178507241530307,0.04080322766331355,-0.026929605069511427,-0.014116974610296203
ipc_change,0.7070917716507618,-0.0109562834098201,0.0024316620990909176,0.002417428223059337,0.011413302365774215,-0.03957593015982198,-0.03178507241530307,1.0,0.002974280151916886,0.0007814943474739513,0.004282552643949303
ipc_avg_8,0.5072858946847966,0.0031640194843028996,0.0034128810809530147,-0.02038780676012319,-0.004194814965285295,0.027733408245937716,0.04080322766331355,0.002974280151916886,1.0,-0.010961846064240915,0.005112577247772065
l3_miss_rate_avg_8,-0.010162591745659153,-0.010132531941823338,0.5144251482166396,0.013788574952953027,-0.0030093008950589956,-0.0011986528981790037,-0.026929605069511427,0.0007814943474739513,-0.010961846064240915,1.0,-0.019966165102706854
bw_util,0.007383363613812223,0.034429239557571344,-0.00700278024972879,0.04916796719050082,0.00901801841773062,0.004368312845752854,-0.014116974610296203,0.004282552643949303,0.005112577247772065,-0.019966165102706854,1.0
