feature,display_name,R2_vs_other_features,VIF
ipc,IPC,0.7555583368645125,4.090955638138195
ipc_change,IPC change,0.6714119487961301,3.043324297205067
ipc_avg_8,Rolling IPC,0.5105923194804064,2.0432862821815987
l3_miss_rate_avg_8,Rolling L3 miss rate,0.2659833321901123,1.3623668832803708
l3_miss_rate,L3 miss rate,0.2655087246701283,1.3614865602738224
cpu_frequency,CPU frequency,0.0904257189198262,1.0994154307138504
cpu_power,CPU power,0.08943545708425304,1.098219788789347
cpu_usage_overall,CPU usage,0.011498388228757594,1.0116321390798284
cpu_temperature,CPU temperature,0.010094023614764858,1.0101969518879201
bw_util,Bandwidth utilization,0.004573134058937445,1.0045941436939358
l2_miss_rate,L2 miss rate,0.003945530671446873,1.0039611595479379
