model,class,precision,recall,f1,support
LogReg,Low,0.43977591036414565,0.35280898876404493,0.3915211970074813,445
LogReg,Medium,0.659043659043659,0.45285714285714285,0.5368331922099915,700
LogReg,High,0.22245322245322247,0.6149425287356322,0.3267175572519084,174
LinearSVM,Low,0.43171806167400884,0.4404494382022472,0.4360400444938821,445
LinearSVM,Medium,0.6343537414965986,0.5328571428571428,0.5791925465838509,700
LinearSVM,High,0.24187725631768953,0.3850574712643678,0.29711751662971175,174
kNN,Low,0.44301765650080255,0.6202247191011236,0.5168539325842697,445
kNN,Medium,0.6568778979907264,0.6071428571428571,0.6310319227913883,700
kNN,High,0.3469387755102041,0.09770114942528736,0.15246636771300448,174
DecisionTree,Low,0.44933078393881454,0.5280898876404494,0.4855371900826446,445
DecisionTree,Medium,0.7046843177189409,0.4942857142857143,0.581024349286314,700
DecisionTree,High,0.20327868852459016,0.3563218390804598,0.2588726513569937,174
RandomForest,Low,0.4361979166666667,0.7528089887640449,0.5523495465787304,445
RandomForest,Medium,0.7311608961303462,0.5128571428571429,0.6028547439126785,700
RandomForest,High,0.3333333333333333,0.11494252873563218,0.17094017094017094,174
HistGBDT,Low,0.46153846153846156,0.5797752808988764,0.5139442231075697,445
HistGBDT,Medium,0.6751700680272109,0.5671428571428572,0.6164596273291926,700
HistGBDT,High,0.2441860465116279,0.2413793103448276,0.24277456647398843,174
