model,class,precision,recall,f1,support
LogReg,Low,0.4463276836158192,0.3550561797752809,0.3954943679599499,445
LogReg,Medium,0.6652719665271967,0.4542857142857143,0.5398981324278438,700
LogReg,High,0.22381930184804927,0.6264367816091954,0.329803328290469,174
LinearSVM,Low,0.46441947565543074,0.2786516853932584,0.34831460674157305,445
LinearSVM,Medium,0.6118500604594922,0.7228571428571429,0.6627373935821873,700
LinearSVM,High,0.28,0.3620689655172414,0.3157894736842105,174
kNN,Low,0.457286432160804,0.40898876404494383,0.431791221826809,445
kNN,Medium,0.6040268456375839,0.7714285714285715,0.6775407779171895,700
kNN,High,0.48148148148148145,0.07471264367816093,0.12935323383084577,174
DecisionTree,Low,0.4694736842105263,0.501123595505618,0.48478260869565215,445
DecisionTree,Medium,0.7027027027027027,0.4828571428571429,0.5723962743437765,700
DecisionTree,High,0.22038567493112948,0.45977011494252873,0.297951582867784,174
RandomForest,Low,0.48324022346368717,0.3887640449438202,0.43088418430884184,445
RandomForest,Medium,0.5946524064171123,0.7942857142857143,0.6801223241590214,700
RandomForest,High,0.4230769230769231,0.06321839080459771,0.11,174
HistGBDT,Low,0.4642082429501085,0.48089887640449436,0.47240618101545256,445
HistGBDT,Medium,0.6573643410852713,0.6057142857142858,0.6304832713754647,700
HistGBDT,High,0.22065727699530516,0.27011494252873564,0.24289405684754523,174
