model,class,precision,recall,f1,support
LogReg,Low,0.43977591036414565,0.35280898876404493,0.3915211970074813,445
LogReg,Medium,0.659043659043659,0.45285714285714285,0.5368331922099915,700
LogReg,High,0.22245322245322247,0.6149425287356322,0.3267175572519084,174
LinearSVM,Low,0.43171806167400884,0.4404494382022472,0.4360400444938821,445
LinearSVM,Medium,0.6343537414965986,0.5328571428571428,0.5791925465838509,700
LinearSVM,High,0.24187725631768953,0.3850574712643678,0.29711751662971175,174
kNN,Low,0.44751381215469616,0.5460674157303371,0.49190283400809715,445
kNN,Medium,0.6411411411411412,0.61,0.6251830161054173,700
kNN,High,0.23636363636363636,0.14942528735632185,0.18309859154929578,174
DecisionTree,Low,0.4074074074074074,0.4696629213483146,0.4363256784968685,445
DecisionTree,Medium,0.6455479452054794,0.5385714285714286,0.5872274143302181,700
DecisionTree,High,0.21621621621621623,0.27586206896551724,0.24242424242424243,174
RandomForest,Low,0.44609164420485176,0.7438202247191011,0.5577085088458298,445
RandomForest,Medium,0.720616570327553,0.5342857142857143,0.6136177194421657,700
RandomForest,High,0.3620689655172414,0.1206896551724138,0.1810344827586207,174
HistGBDT,Low,0.46243739565943237,0.6224719101123596,0.5306513409961686,445
HistGBDT,Medium,0.7072727272727273,0.5557142857142857,0.6224,700
HistGBDT,High,0.2647058823529412,0.25862068965517243,0.2616279069767442,174
