model,class,precision,recall,f1,support
LogReg,Low,0.28209459459459457,0.3638344226579521,0.31779257849666986,459
LogReg,Medium,0.7237762237762237,0.3262411347517731,0.44975556762629004,1269
LogReg,High,0.13831258644536654,0.6289308176100629,0.22675736961451248,159
LinearSVM,Low,0.5555555555555556,0.06535947712418301,0.11695906432748537,459
LinearSVM,Medium,0.6939130434782609,0.9432624113475178,0.7995991983967936,1269
LinearSVM,High,0.23148148148148148,0.15723270440251572,0.18726591760299627,159
kNN,Low,0.4171779141104294,0.14814814814814814,0.21864951768488747,459
kNN,Medium,0.6885245901639344,0.9267139479905437,0.7900571044675848,1269
kNN,High,0.5,0.050314465408805034,0.09142857142857143,159
DecisionTree,Low,0.3078125,0.42919389978213507,0.35850773430391264,459
DecisionTree,Medium,0.7736185383244206,0.34200157604412923,0.4743169398907104,1269
DecisionTree,High,0.1239067055393586,0.5345911949685535,0.20118343195266272,159
RandomForest,Low,0.8780487804878049,0.0784313725490196,0.144,459
RandomForest,Medium,0.6872270742358079,0.9921197793538219,0.8119961302805546,1269
RandomForest,High,0.5,0.0440251572327044,0.08092485549132948,159
HistGBDT,Low,0.3238512035010941,0.3224400871459695,0.3231441048034934,459
HistGBDT,Medium,0.7059736229635376,0.7171000788022065,0.7114933541829555,1269
HistGBDT,High,0.19858156028368795,0.1761006289308176,0.18666666666666668,159
